dates,Action,Strategy,VR,Adventure
2019-01-06,5,8,21,10
2019-01-13,5,9,16,9
2019-01-20,5,9,17,9
2019-01-27,5,9,15,9
2019-02-03,5,10,14,9
2019-02-10,5,8,15,9
2019-02-17,6,9,16,8
2019-02-24,5,9,15,8
2019-03-03,6,9,14,10
2019-03-10,5,9,15,8
2019-03-17,4,8,14,8
2019-03-24,5,8,15,10
2019-03-31,5,7,14,8
2019-04-07,5,9,13,8
2019-04-14,5,8,13,8
2019-04-21,5,8,12,9
2019-04-28,5,8,14,11
2019-05-05,5,7,13,11
2019-05-12,5,8,14,10
2019-05-19,4,8,19,9
2019-05-26,5,9,21,10
2019-06-02,6,7,20,9
2019-06-09,5,7,22,10
2019-06-16,4,8,20,9
2019-06-23,4,7,18,9
2019-06-30,4,8,19,9
2019-07-07,4,8,17,7
2019-07-14,4,7,17,8
2019-07-21,4,6,16,8
2019-07-28,4,7,16,8
2019-08-04,4,7,15,7
2019-08-11,4,7,15,8
2019-08-18,4,8,16,7
2019-08-25,4,6,15,7
2019-09-01,5,7,15,7
2019-09-08,4,7,12,8
2019-09-15,5,8,12,10
2019-09-22,5,8,14,9
2019-09-29,5,7,14,9
2019-10-06,4,7,15,9
2019-10-13,5,9,14,10
2019-10-20,5,8,14,10
2019-10-27,5,8,15,7
2019-11-03,6,8,17,9
2019-11-10,5,7,20,9
2019-11-17,6,9,24,9
2019-11-24,5,11,50,9
2019-12-01,7,10,36,10
2019-12-08,6,10,31,11
2019-12-15,6,11,30,10
2019-12-22,6,11,55,12
2019-12-29,6,10,31,10
2020-01-05,6,9,20,8
2020-01-12,6,9,19,9
2020-01-19,5,9,19,9
2020-01-26,5,7,17,8
2020-02-02,5,8,17,7
2020-02-09,6,7,16,8
2020-02-16,5,8,18,9
2020-02-23,6,8,17,9
2020-03-01,6,8,15,9
2020-03-08,5,8,16,9
2020-03-15,5,10,18,13
2020-03-22,6,13,23,15
2020-03-29,6,13,24,13
2020-04-05,6,11,23,14
2020-04-12,6,11,23,10
2020-04-19,6,11,22,11
2020-04-26,15,12,24,14
2020-05-03,13,11,23,13
2020-05-10,6,9,20,11
2020-05-17,5,10,21,10
2020-05-24,5,8,20,10
2020-05-31,5,7,19,9
2020-06-07,5,7,20,9
2020-06-14,5,8,20,10
2020-06-21,5,7,20,8
2020-06-28,5,8,21,9
2020-07-05,5,7,23,9
2020-07-12,5,7,21,9
2020-07-19,5,7,20,8
2020-07-26,5,7,20,9
2020-08-02,3,6,21,8
2020-08-09,5,7,18,10
2020-08-16,4,7,18,9
2020-08-23,4,6,17,9
2020-08-30,5,7,18,11
2020-09-06,6,9,16,11
2020-09-13,5,8,17,10
2020-09-20,5,7,18,8
2020-09-27,5,6,18,8
2020-10-04,4,8,19,8
2020-10-11,5,7,28,8
2020-10-18,5,7,27,9
2020-10-25,5,7,23,8
2020-11-01,3,5,19,7
2020-11-08,5,7,27,9
2020-11-15,5,7,30,9
2020-11-22,5,9,44,11
2020-11-29,5,7,35,8
2020-12-06,6,8,31,9
2020-12-13,5,8,33,9
2020-12-20,6,10,56,10
2020-12-27,5,8,53,10
2021-01-03,5,7,30,9
2021-01-10,5,6,31,9
2021-01-17,5,6,26,9
2021-01-24,4,7,26,8
2021-01-31,4,8,25,8
2021-02-07,5,7,23,8
2021-02-14,5,8,24,9
2021-02-21,5,6,24,8
2021-02-28,7,7,26,7
2021-03-07,4,5,24,7
2021-03-14,5,6,27,9
2021-03-21,4,5,26,7
2021-03-28,5,6,25,8
2021-04-04,4,5,24,6
2021-04-11,4,7,21,8
2021-04-18,3,6,23,7
2021-04-25,4,6,20,8
2021-05-02,4,6,21,7
2021-05-09,5,6,19,7
2021-05-16,4,5,21,7
2021-05-23,5,6,22,7
2021-05-30,5,6,21,8
2021-06-06,4,6,21,7
2021-06-13,5,6,22,8
2021-06-20,4,6,22,7
2021-06-27,4,6,23,8
2021-07-04,4,6,24,7
2021-07-11,3,6,21,8
2021-07-18,5,7,23,7
2021-07-25,4,5,22,9
2021-08-01,4,5,18,8
2021-08-08,4,6,18,7
2021-08-15,4,6,16,7
2021-08-22,4,6,16,7
2021-08-29,4,5,17,8
2021-09-05,4,6,18,8
2021-09-12,4,5,18,6
2021-09-19,5,5,19,7
2021-09-26,5,5,16,7
2021-10-03,5,5,16,7
2021-10-10,5,6,19,7
2021-10-17,5,5,21,6
2021-10-24,5,7,23,6
2021-10-31,5,6,23,8
2021-11-07,5,7,26,7
2021-11-14,4,7,25,8
2021-11-21,5,7,44,8
2021-11-28,6,7,38,7
2021-12-05,6,8,31,8
2021-12-12,5,7,36,9
2021-12-19,6,8,64,10
2021-12-26,5,8,100,10
2022-01-02,4,8,53,9
2022-01-09,5,7,46,8
2022-01-16,5,7,43,8
2022-01-23,6,8,34,8
2022-01-30,5,7,34,9
2022-02-06,5,7,28,8
2022-02-13,5,6,30,9
2022-02-20,5,7,30,7
2022-02-27,5,7,27,7
2022-03-06,4,7,27,8
2022-03-13,4,7,28,7
2022-03-20,4,7,26,7
2022-03-27,5,6,27,7
2022-04-03,5,7,23,8
2022-04-10,4,7,25,7
2022-04-17,4,7,26,7
2022-04-24,4,6,23,7
2022-05-01,6,7,24,7
2022-05-08,4,6,24,7
2022-05-15,3,7,27,7
